currency_code,base_currency,exchange_rate,reference_date
USD,KRW,1289.4,2024-01-02
USD,KRW,1299.3,2024-01-03
USD,KRW,1308.8,2024-01-04
USD,KRW,1310.2,2024-01-05
USD,KRW,1313.7,2024-01-08
USD,KRW,1314.8,2024-01-09
USD,KRW,1312.1,2024-01-10
USD,KRW,1320.1,2024-01-11
USD,KRW,1316,2024-01-12
USD,KRW,1314.1,2024-01-15
USD,KRW,1319.3,2024-01-16
USD,KRW,1329,2024-01-17
USD,KRW,1343.2,2024-01-18
USD,KRW,1342.4,2024-01-19
USD,KRW,1336.5,2024-01-22
USD,KRW,1334.7,2024-01-23
USD,KRW,1336,2024-01-24
USD,KRW,1339.1,2024-01-25
USD,KRW,1335.7,2024-01-26
USD,KRW,1336.6,2024-01-29
USD,KRW,1336.9,2024-01-30
USD,KRW,1330.6,2024-01-31
USD,KRW,1333.5,2024-02-01
USD,KRW,1332.5,2024-02-02
USD,KRW,1325.1,2024-02-05
USD,KRW,1334.6,2024-02-06
USD,KRW,1329.6,2024-02-07
USD,KRW,1325.3,2024-02-08
USD,KRW,1327.2,2024-02-13
USD,KRW,1328.4,2024-02-14
USD,KRW,1336.9,2024-02-15
USD,KRW,1333.2,2024-02-16
USD,KRW,1333,2024-02-19
USD,KRW,1333.8,2024-02-20
USD,KRW,1337.9,2024-02-21
USD,KRW,1335,2024-02-22
USD,KRW,1331,2024-02-23
USD,KRW,1329.3,2024-02-26
USD,KRW,1331.4,2024-02-27
USD,KRW,1331.3,2024-02-28
USD,KRW,1334,2024-02-29
USD,KRW,1334.1,2024-03-04
USD,KRW,1330.1,2024-03-05
USD,KRW,1333.2,2024-03-06
USD,KRW,1335.7,2024-03-07
USD,KRW,1329.6,2024-03-08
USD,KRW,1323.1,2024-03-11
USD,KRW,1314.4,2024-03-12
USD,KRW,1311.1,2024-03-13
USD,KRW,1312.8,2024-03-14
USD,KRW,1316.9,2024-03-15
USD,KRW,1328.4,2024-03-18
USD,KRW,1333,2024-03-19
USD,KRW,1338.5,2024-03-20
USD,KRW,1338.7,2024-03-21
USD,KRW,1326.3,2024-03-22
USD,KRW,1336.1,2024-03-25
USD,KRW,1340.7,2024-03-26
USD,KRW,1338.6,2024-03-27
USD,KRW,1345.8,2024-03-28
USD,KRW,1346.8,2024-03-29
USD,KRW,1347.4,2024-04-01
USD,KRW,1347.1,2024-04-02
USD,KRW,1353,2024-04-03
USD,KRW,1349.1,2024-04-04
USD,KRW,1346.8,2024-04-05
USD,KRW,1351.8,2024-04-08
USD,KRW,1353.6,2024-04-09
USD,KRW,1354.4,2024-04-11
USD,KRW,1363.7,2024-04-12
USD,KRW,1371.6,2024-04-15
USD,KRW,1383.7,2024-04-16
USD,KRW,1395.3,2024-04-17
USD,KRW,1386.3,2024-04-18
USD,KRW,1375.9,2024-04-19
USD,KRW,1385,2024-04-22
USD,KRW,1380.6,2024-04-23
USD,KRW,1377.9,2024-04-24
USD,KRW,1370,2024-04-25
USD,KRW,1376.6,2024-04-26
USD,KRW,1375.9,2024-04-29
USD,KRW,1378.7,2024-04-30
USD,KRW,1378,2024-05-02
USD,KRW,1378.5,2024-05-03
USD,KRW,1365.2,2024-05-07
USD,KRW,1357.8,2024-05-08
USD,KRW,1364.4,2024-05-09
USD,KRW,1367.9,2024-05-10
USD,KRW,1367.9,2024-05-13
USD,KRW,1370.1,2024-05-14
USD,KRW,1369,2024-05-16
USD,KRW,1349.4,2024-05-17
USD,KRW,1355.2,2024-05-20
USD,KRW,1356.2,2024-05-21
USD,KRW,1364.4,2024-05-22
